feature	std_effect	effect_mean_diff	p_value	p_adj_bh	direction
f475	0.2754900018953153	1.4491802156044288e-05	0.0002808040861621	0.0353899549821598	up
f12382	0.09573388815281991	3.4232256621180567e-06	0.0002864300353778	0.0359606873534887	up
f4068	0.3399376941030799	0.0005415149405598	0.0002884799071215	0.0360798076204551	up
f15651	0.3134995279873179	4.002667708937224e-05	0.0002997664063994	0.0367347700781929	up
f28623	0.04247409886730748	1.074133200381766e-05	0.000298611307493	0.0367347700781929	up
f11799	0.25589527777966914	3.442918170185294e-05	0.0003006396131777	0.0367347700781929	up
f16994	0.0823759778223202	9.35242340710829e-06	0.0003015641220408	0.0367347700781929	up
f6425	0.1414325348707852	1.6036601298765164e-05	0.0002995315152185	0.0367347700781929	up
f3695	0.10990230200623956	2.0419026477611623e-06	0.0002999538309753	0.0367347700781929	up
f11734	0.11153497876125001	2.809848586730368e-05	0.0003000975442951	0.0367347700781929	up
f3270	0.23136075894559288	5.787422622233862e-06	0.0003117609866583	0.0377878638382735	up
f7475	0.18229949687266692	3.00511091008957e-05	0.0003125155975394	0.0377878638382735	up
f2289	0.2526298859963654	2.17611080597635e-05	0.0003200074900236	0.0377901625182831	up
f6499	0.21092697154753753	8.506524567746965e-05	0.0003174202344373	0.0377901625182831	up
f7580	0.2593446632901614	1.2352736079265014e-05	0.0003206074578882	0.0377901625182831	up
f9341	0.16652486537736508	1.3077884663289295e-05	0.0003163916008918	0.0377901625182831	up
f17880	0.2225035909174008	2.963036801702401e-06	0.000316898989756	0.0377901625182831	up
f28439	0.28611312035448705	2.9132955241948366e-06	0.0003191051839675	0.0377901625182831	up
f30403	0.1728248454730599	6.7433425347189775e-06	0.0003188772141747	0.0377901625182831	up
f22581	0.3037898088589661	0.0002871725542863	0.0003225216403342	0.037879530861913	up
f6673	0.31489131221880795	6.626500995480455e-06	0.0003284042113214	0.0383363668392757	up
f21515	0.15244287975883442	1.2792105921107575e-05	0.0003287511926829	0.0383363668392757	up
f14011	0.31459328273169884	6.361773786193225e-05	0.0003391706604294	0.0394111496487717	up
f31110	0.16124595092318614	1.0852116683963686e-06	0.0003435529837514	0.0394367538697843	up
f20834	0.14018620914688842	3.045282404855243e-05	0.0003411232495961	0.0394367538697843	up
f4984	0.19996316915806658	3.479586657431355e-05	0.0003454085803414	0.0394367538697843	up
f3455	0.09777054607572006	2.3864295981184115e-06	0.0003434244533833	0.0394367538697843	up
f10874	0.0842758699389885	2.1085338103148386e-06	0.0003443604729351	0.0394367538697843	up
f9024	0.17678266269631873	8.472196735965555e-06	0.0003482992755573	0.0396287175745267	up
f14927	0.07401358395156822	1.0311220885341754e-06	0.000352391331477	0.0399555679925255	up
f24978	0.3572644559308778	4.6962370979599655e-06	0.000354535406531	0.0400600558662439	up
f20332	0.28270226818042693	8.503585119615309e-05	0.0003612877789126	0.0405434176007142	up
f31369	0.2428999143069321	5.7962347917055014e-05	0.0003607058253914	0.0405434176007142	up
f11342	0.28309293787273326	1.1913297957107716e-05	0.0003637332089728	0.0406785317120179	up
f7034	0.22710353391962484	2.7294516305119033e-05	0.0003670333397357	0.0409079880151701	up
f4619	0.25597746882595634	3.979058419645298e-06	0.0003707921270691	0.0411868353213649	up
