feature	feature_idx	spearman_af	p	q
f15439	15439	-0.1866466013670697	6.587519797029928e-07	7.547547157660024e-05
f18787	18787	-0.18660943177546038	6.621877591494557e-07	7.560476826414413e-05
f6099	6099	-0.18647586224874613	6.746770694130169e-07	7.676325767543658e-05
f18509	18509	0.18616299082853338	7.048247499166179e-07	7.964033588023357e-05
f169	169	-0.18616769552252002	7.04361969842079e-07	7.964033588023357e-05
f13661	13661	0.18600609041831284	7.204268868816947e-07	8.112353343415593e-05
f24402	24402	-0.18597212390538817	7.23847961708269e-07	8.122962331937178e-05
f16025	16025	-0.18594400014524728	7.266923741905833e-07	8.127049732927315e-05
f765	765	-0.1858186261049871	7.395038451030751e-07	8.242197957937947e-05
f24297	24297	-0.185780062907242	7.434879355077335e-07	8.258512769734716e-05
f12710	12710	0.18568291960706707	7.536157953089831e-07	8.342183024894183e-05
f4325	4325	-0.18565916797398554	7.561121699199135e-07	8.342183024894183e-05
f1053	1053	-0.18553959778887372	7.688006023218155e-07	8.453710784188338e-05
f21608	21608	0.18526438761375613	7.987874525105605e-07	8.754069312329782e-05
f3200	3200	0.18522542850488927	8.031222108195833e-07	8.772236201378703e-05
f30687	30687	0.1847893182890011	8.532148401751628e-07	9.288419894637786e-05
f7528	7528	-0.18472838744710113	8.604481542624125e-07	9.336147390354548e-05
f8161	8161	-0.18458619944730764	8.775577065883066e-07	9.490366643394597e-05
f31408	31408	-0.18451107906704584	8.867284763211377e-07	9.557999576345737e-05
f11760	11760	-0.1843802762464357	9.029172107792215e-07	9.70058726649624e-05
f31776	31776	-0.18425212994202625	9.190523072507575e-07	9.841668628755824e-05
f5482	5482	-0.18406014805321397	9.437444588870834e-07	0.00010073165611990863
f20214	20214	-0.18389630521658842	9.65320355528532e-07	0.0001027000565258407
f22962	22962	0.18383234353668396	9.738711858268158e-07	0.00010327446931123981
f28830	28830	-0.18363664505518318	1.0004877127026343e-06	0.00010575477861238684
f23047	23047	0.1835054459449559	1.0187215716534714e-06	0.00010722079694134041
f24155	24155	-0.18348991433335088	1.0209011427520206e-06	0.00010722079694134041
f21873	21873	0.18344862833731884	1.0267166581531039e-06	0.00010748706534939587
f22140	22140	-0.1832899230270225	1.0493694089038566e-06	0.00010950871589478208
f27456	27456	-0.1831337145793108	1.0721340393518196e-06	0.00011152916889358864
f29856	29856	0.1830921427668501	1.0782718467459148e-06	0.00011181269580433588
f21812	21812	0.1829333339508831	1.1020310647822966e-06	0.00011391594299932585
f29837	29837	0.18272079358438104	1.1346167195035034e-06	0.00011691547378833585
f28945	28945	-0.18257003682969217	1.1582887291419084e-06	0.00011898058017718512
f14672	14672	0.1823922721323991	1.1868109582387675e-06	0.00012152944212364979
f22814	22814	0.18199470973153437	1.2530601548096335e-06	0.000127913629759508
f27910	27910	0.18184715210162902	1.2785407554933857e-06	0.0001301093896770412
f825	825	-0.1817682383808219	1.2923711195147064e-06	0.00013110964967262507
f31548	31548	-0.1814948635779526	1.341401526386102e-06	0.00013566371980438207
f2929	2929	-0.18146677947360654	1.3465384080473715e-06	0.00013576421709198853
f8028	8028	-0.18143105263821122	1.3531005152278015e-06	0.000136007354855781
f31127	31127	0.18127435870485353	1.3822454236718312e-06	0.00013851198178250327
f29932	29932	0.1812218002569081	1.3921554582683796e-06	0.00013907972578212886
f16105	16105	-0.18115506102990186	1.404837600358533e-06	0.00013992011698646934
f20263	20263	0.181070225527343	1.4211185790969806e-06	0.0001411011268723394
f17609	17609	0.1810485496155498	1.425307403404063e-06	0.0001411011268723394
f11471	11471	0.18088923766882922	1.4564596603475812e-06	0.00014375081370563114
f23854	23854	0.1806443706690507	1.5056187180156192e-06	0.0001468344829594744
f28256	28256	0.1806443706690507	1.5056187180156192e-06	0.0001468344829594744
f28499	28499	0.18062315952008823	1.509951152279173e-06	0.0001468344829594744
f15547	15547	0.18062239243501355	1.5101080553388327e-06	0.0001468344829594744
f20755	20755	-0.18068439348149634	1.497476410502488e-06	0.0001468344829594744
f753	753	-0.18026674252291414	1.5845640759228725e-06	0.00015361833029538664
f27575	27575	0.18017895214019533	1.603477995208108e-06	0.00015499341282294775
f21239	21239	0.18002599580729425	1.6369500018702664e-06	0.0001572318125751167
f32706	32706	0.18000755582039435	1.6410302704067966e-06	0.0001572318125751167
f25339	25339	-0.18000913460597867	1.640680546530772e-06	0.0001572318125751167
f22169	22169	0.17993223008938183	1.6577993477760631e-06	0.0001583754199064899
f11204	11204	0.17988386532029293	1.6686528596052497e-06	0.00015848816493781108
f25911	25911	-0.17989063235928412	1.6671301818702196e-06	0.00015848816493781108
f3285	3285	0.17965292342376418	1.7214248927063222e-06	0.00016302789272890395
f14706	14706	-0.1795690820322645	1.7409763937891047e-06	0.00016440436447170428
f13725	13725	0.17951121586902188	1.7545945829274085e-06	0.00016521423934875092
f30820	30820	0.1793877849298664	1.7839848854968616e-06	0.00016745191905743638
f21859	21859	-0.17936866547835628	1.7885794577057718e-06	0.00016745191905743638
f27929	27929	-0.17933003954234863	1.7978962495175081e-06	0.00016784462764726413
f2997	2997	-0.179292850390241	1.8069104396453733e-06	0.00016820693547244203
f5290	5290	-0.17913208010733456	1.8463802048443127e-06	0.00017139429618226185
f31566	31566	0.17887965052764124	1.9100254078916795e-06	0.0001768014479259733
f28303	28303	-0.1788115433683688	1.9275543571943673e-06	0.00017792141176491556
